dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,0,     549.830880
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,1,     561.849685
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,2,     562.708905
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,3,     573.284410
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,4,     555.910017
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,5,     564.972738
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,6,     565.665091
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,7,     545.713276
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,8,     559.973515
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,9,     566.911863
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,10,     559.337005
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,11,     557.267919
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,12,     558.574352
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,13,     560.901550
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,14,     562.142078
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,15,     554.835376
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,16,     550.573588
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,17,     555.534790
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,18,     550.822107
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,19,     547.000750
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,20,     562.321921
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,21,     567.524072
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,22,     552.297963
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,23,     563.760495
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,24,     560.218498
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,25,     564.498442
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,26,     558.218567
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,27,     563.860325
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,28,     553.884252
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",64,369,29,     563.916290
