dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,0,     877.610860
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,1,     882.478537
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,2,     882.777093
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,3,     882.556718
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,4,     882.392753
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,5,     884.547291
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,6,     884.188352
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,7,     885.257911
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,8,     883.403183
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,9,     883.992050
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,10,     883.127913
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,11,     884.717570
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,12,     882.926029
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,13,     884.859468
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,14,     881.755529
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,15,     883.349938
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,16,     883.158019
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,17,     882.319147
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,18,     881.338862
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,19,     880.930583
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,20,     884.918589
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,21,     883.391045
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,22,     883.879075
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,23,     882.038800
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,24,     884.052629
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,25,     882.840658
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,26,     882.647488
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,27,     883.710725
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,28,     882.646740
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",1,256,29,     884.016411
