dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,0,     682.085735
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,1,     673.152958
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,2,     588.820251
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,3,     591.006005
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,4,     590.513840
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,5,     588.254064
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,6,     582.968768
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,7,     593.638289
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,8,     681.990884
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,9,     590.837974
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,10,     615.082583
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,11,     599.796806
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,12,     594.683026
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,13,     608.115298
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,14,     602.969165
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,15,     595.631205
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,16,     601.065830
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,17,     598.959982
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,18,     595.651108
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,19,     590.713133
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,20,     596.493579
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,21,     593.674282
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,22,     598.307994
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,23,     595.962180
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,24,     671.098410
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,25,     586.495910
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,26,     591.928657
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,27,     588.592013
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,28,     603.805509
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",64,369,29,     599.837945
