dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,0,      98.432065
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,1,      94.568638
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,2,      94.539276
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,3,      94.593132
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,4,      95.046830
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,5,      99.532110
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,6,      94.421745
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,7,      94.468057
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,8,      94.258452
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,9,      94.557518
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,10,      94.654588
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,11,      94.531585
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,12,      94.608542
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,13,      94.471739
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,14,      94.424030
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,15,      94.466215
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,16,      97.336666
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,17,      94.472306
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,18,      94.244868
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,19,      94.340138
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,20,      94.419398
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,21,      94.397186
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,22,      94.680095
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,23,      94.688934
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,24,      97.017755
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,25,      95.924075
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,26,      94.775871
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,27,      94.729181
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,28,      94.670371
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",16,203,29,      94.939553
