dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,0,    3014.009992
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,1,    2962.463250
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,2,    2940.963055
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,3,    2929.805135
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,4,    2925.278617
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,5,    2934.749268
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,6,    2928.752524
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,7,    2909.138365
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,8,    2909.753901
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,9,    2899.748262
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,10,    2895.278082
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,11,    2885.322457
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,12,    2876.089630
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,13,    2881.101470
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,14,    2886.760534
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,15,    2878.414518
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,16,    2871.575466
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,17,    2888.704687
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,18,    2876.652857
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,19,    2883.581443
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,20,    2875.091805
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,21,    2877.605083
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,22,    2868.605741
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,23,    2874.039328
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,24,    2875.649333
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,25,    2872.803158
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,26,    2878.664761
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,27,    2873.804721
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,28,    2870.958055
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",6,465,29,    2872.008083
