dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,0,    2075.988100
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,1,    2046.462345
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,2,    2034.640189
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,3,    2036.436783
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,4,    2037.383502
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,5,    2023.555060
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,6,    2026.099260
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,7,    2025.420080
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,8,    2038.053442
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,9,    2052.860439
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,10,    2047.106040
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,11,    2047.213451
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,12,    2044.357104
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,13,    2048.082717
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,14,    2046.570354
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,15,    2049.642558
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,16,    2035.500900
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,17,    2030.692274
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,18,    2032.581092
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,19,    2030.119719
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,20,    2036.272196
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,21,    2046.668987
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,22,    2056.468942
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,23,    2050.064608
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,24,    2049.276613
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,25,    2052.463543
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,26,    2047.652677
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,27,    2034.864455
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,28,    2038.112920
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,29,    2045.461442
