dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,0,      65.108885
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,1,      60.179679
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,2,      59.827606
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,3,      59.657545
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,4,      59.748035
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,5,      59.445465
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,6,      60.578792
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,7,      61.498029
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,8,      63.061092
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,9,      60.445177
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,10,      59.496016
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,11,      59.619254
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,12,      60.214290
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,13,      59.783092
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,14,      59.408013
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,15,      59.874520
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,16,      59.361645
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,17,      59.110923
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,18,      59.254239
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,19,      60.134695
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,20,      59.986523
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,21,      59.610316
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,22,      60.107133
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,23,      59.704484
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,24,      59.408892
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,25,      59.203573
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,26,      59.563503
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,27,      59.179481
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,28,      60.575720
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",16,203,29,      59.680254
