dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,0,    1646.507733
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,1,    1608.227704
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,2,    1615.951982
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,3,    1619.158120
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,4,    1612.929502
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,5,    1609.290332
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,6,    1608.150179
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,7,    1620.771775
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,8,    1622.594242
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,9,    1621.027173
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,10,    1620.773929
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,11,    1618.003583
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,12,    1620.908047
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,13,    1621.400435
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,14,    1619.410556
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,15,    1617.352947
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,16,    1616.782268
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,17,    1617.809776
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,18,    1615.487733
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,19,    1615.078806
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,20,    1617.863336
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,21,    1615.265991
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,22,    1617.041115
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,23,    1614.183202
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,24,    1621.776939
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,25,    1618.995243
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,26,    1621.827326
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,27,    1618.739875
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,28,    1619.407418
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",2,323,29,    1618.668451
