dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,0,      67.010531
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,1,      66.387098
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,2,      66.556871
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,3,      66.505370
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,4,      68.925683
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,5,      66.865869
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,6,      66.462421
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,7,      66.528006
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,8,      66.539579
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,9,      66.470096
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,10,      66.508222
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,11,      66.523017
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,12,      66.708538
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,13,      66.712616
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,14,      66.524647
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,15,      66.458243
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,16,      66.450152
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,17,      66.364607
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,18,      66.963796
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,19,      66.445308
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,20,      66.482334
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,21,      66.270175
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,22,      66.962419
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,23,      66.530356
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,24,      66.497245
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,25,      66.603233
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,26,      66.440680
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,27,      66.753042
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,28,      66.417073
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",16,203,29,      66.506824
