dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,0,    3249.637462
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,1,    3250.011993
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,2,    3234.096941
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,3,    3243.068787
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,4,    3242.587435
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,5,    3233.450062
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,6,    3233.298647
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,7,    3246.074174
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,8,    3234.210881
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,9,    3233.430956
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,10,    3236.516597
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,11,    3234.031023
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,12,    3233.433793
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,13,    3240.511323
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,14,    3250.741797
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,15,    3252.919056
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,16,    3241.014886
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,17,    3233.331129
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,18,    3232.861225
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,19,    3233.925272
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,20,    3242.281094
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,21,    3249.589266
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,22,    3240.692791
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,23,    3232.729266
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,24,    3234.533114
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,25,    3240.402748
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,26,    3251.409622
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,27,    3249.398459
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,28,    3238.759115
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",6,465,29,    3238.102026
