dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,0,    2256.969922
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,1,    2177.271257
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,2,    2187.031354
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,3,    2190.761214
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,4,    2189.101567
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,5,    2181.932586
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,6,    2184.486103
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,7,    2195.440851
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,8,    2207.423518
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,9,    2177.277731
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,10,    2165.749836
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,11,    2191.636875
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,12,    2197.070638
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,13,    2190.646925
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,14,    2196.250758
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,15,    2180.289699
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,16,    2187.660112
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,17,    2186.497588
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,18,    2181.568573
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,19,    2192.275578
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,20,    2181.836361
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,21,    2187.178213
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,22,    2189.025407
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,23,    2190.886462
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,24,    2199.918458
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,25,    2191.222814
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,26,    2184.424952
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,27,    2180.244956
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,28,    2179.770850
3,double,uniform,PoisFFT,"P | P | P | P | N | D",2,323,29,    2184.074177
