dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,0,    2276.219784
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,1,    2271.040470
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,2,    2273.623311
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,3,    2274.916752
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,4,    2276.173809
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,5,    2270.884845
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,6,    2271.815054
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,7,    2273.921857
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,8,    2273.419633
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,9,    2275.009688
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,10,    2273.628278
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,11,    2268.811909
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,12,    2270.673612
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,13,    2271.550290
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,14,    2279.894487
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,15,    2281.132430
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,16,    2283.129865
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,17,    2282.282179
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,18,    2280.669175
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,19,    2282.032421
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,20,    2271.040951
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,21,    2271.321329
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,22,    2270.050970
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,23,    2274.447317
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,24,    2268.591056
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,25,    2272.016050
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,26,    2270.654003
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,27,    2274.445055
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,28,    2272.178803
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",2,323,29,    2284.266832
