dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,0,     539.992108
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,1,     401.505461
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,2,     407.460100
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,3,     392.823224
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,4,     407.211982
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,5,     401.366674
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,6,     395.301311
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,7,     397.177729
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,8,     402.562726
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,9,     401.867403
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,10,     410.498922
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,11,     404.138122
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,12,     473.234694
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,13,     405.063446
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,14,     401.358024
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,15,     402.284413
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,16,     396.828218
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,17,     397.526462
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,18,     410.922157
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,19,     393.405498
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,20,     408.673244
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,21,     399.996955
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,22,     392.555953
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,23,     400.100212
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,24,     407.129043
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,25,     384.915143
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,26,     399.502727
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,27,     401.469122
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,28,     397.328567
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",48,323,29,     399.838642
