dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,0,      60.410021
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,1,      59.820474
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,2,      59.841655
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,3,      59.875023
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,4,      59.195763
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,5,      59.121437
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,6,      61.673468
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,7,      59.964974
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,8,      60.311193
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,9,      59.856816
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,10,      59.962623
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,11,      60.075376
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,12,      60.272196
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,13,      60.018094
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,14,      60.529468
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,15,      60.440208
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,16,      60.108679
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,17,      59.997835
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,18,      59.786624
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,19,      59.961975
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,20,      59.960179
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,21,      58.394074
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,22,      60.055689
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,23,      60.152069
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,24,      60.006367
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,25,      59.999130
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,26,      59.635107
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,27,      59.408161
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,28,      60.184684
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",8,161,29,      60.021353
