dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,0,      70.009863
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,1,      69.166098
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,2,      69.670264
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,3,      68.995797
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,4,      70.188691
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,5,      70.551655
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,6,      71.628104
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,7,      69.075210
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,8,      68.942284
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,9,      69.196839
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,10,      69.057596
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,11,      68.985161
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,12,      69.015508
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,13,      69.344635
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,14,      68.912417
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,15,      68.797770
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,16,      69.190915
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,17,      69.022558
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,18,      68.926003
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,19,      69.458771
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,20,      69.044877
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,21,      68.844808
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,22,      68.804495
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,23,      68.959683
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,24,      69.003683
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,25,      69.281382
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,26,      69.048566
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,27,      68.930777
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,28,      68.505830
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",8,161,29,      68.883793
