dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,0,    1655.543578
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,1,    1652.560090
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,2,    1654.242028
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,3,    1650.985841
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,4,    1653.664615
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,5,    1653.671771
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,6,    1649.695389
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,7,    1653.262095
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,8,    1648.625414
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,9,    1652.965045
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,10,    1654.791489
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,11,    1663.729252
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,12,    1651.174702
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,13,    1650.893500
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,14,    1653.613118
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,15,    1655.974271
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,16,    1647.797751
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,17,    1652.726808
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,18,    1650.498310
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,19,    1648.706705
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,20,    1648.107428
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,21,    1647.377252
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,22,    1645.004946
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,23,    1646.053436
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,24,    1647.139999
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,25,    1645.849107
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,26,    1650.268735
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,27,    1652.384934
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,28,    1647.386665
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",2,323,29,    1642.194830
