dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,0,      60.619416
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,1,      60.985426
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,2,      56.541159
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,3,      56.589903
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,4,      56.755573
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,5,      56.320089
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,6,      56.519553
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,7,      56.238387
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,8,      56.332156
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,9,      56.456240
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,10,      56.517482
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,11,      56.425398
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,12,      56.418243
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,13,      56.350712
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,14,      56.363681
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,15,      56.517838
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,16,      56.503299
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,17,      56.907605
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,18,      57.180127
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,19,      56.444681
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,20,      56.378598
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,21,      56.522440
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,22,      56.479766
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,23,      56.422904
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,24,      56.486053
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,25,      56.510262
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,26,      56.535487
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,27,      56.342535
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,28,      56.354189
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",32,256,29,      56.255877
