dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,0,      84.677633
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,1,      83.499750
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,2,      84.895857
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,3,      84.420789
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,4,      83.471348
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,5,      83.456995
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,6,      83.337289
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,7,      83.465047
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,8,      83.333929
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,9,      83.626391
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,10,      83.512550
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,11,      83.486722
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,12,      83.325722
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,13,      83.402011
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,14,      83.393789
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,15,      83.647066
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,16,      83.355100
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,17,      83.530388
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,18,      83.307402
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,19,      83.741296
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,20,      84.220687
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,21,      84.353281
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,22,      84.512395
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,23,      84.570697
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,24,      85.318469
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,25,      86.080315
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,26,      84.575358
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,27,      84.472062
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,28,      84.527590
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,29,      84.540234
