dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,0,    1673.919446
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,1,    1911.310207
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,2,    1833.450105
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,3,    1833.174456
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,4,    1833.031636
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,5,    1834.843915
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,6,    1833.632999
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,7,    1836.742011
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,8,    1835.080835
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,9,    1832.721833
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,10,    1834.701721
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,11,    1831.634058
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,12,    1833.656532
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,13,    1836.058074
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,14,    1836.570332
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,15,    1849.493946
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,16,    1902.559389
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,17,    1899.941751
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,18,    1910.248947
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,19,    1901.223364
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,20,    1898.809265
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,21,    1918.235711
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,22,    1923.994712
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,23,    1921.754093
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,24,    1928.512640
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,25,    1905.059575
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,26,    1928.778516
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,27,    1918.115980
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,28,    1917.539637
3,double,uniform,PoisFFT,"D | D | D | D | N | D",2,323,29,    1926.259846
