dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,0,      83.888309
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,1,      82.621901
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,2,      85.292634
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,3,      82.511066
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,4,      82.831313
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,5,      82.512285
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,6,      82.571460
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,7,      82.714461
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,8,      82.620289
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,9,      82.685154
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,10,      82.720819
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,11,      82.603362
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,12,      82.607231
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,13,      82.530770
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,14,      82.492761
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,15,      82.595182
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,16,      82.635763
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,17,      82.615587
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,18,      82.801863
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,19,      82.834214
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,20,      84.106787
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,21,      84.044659
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,22,      83.792336
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,23,      83.648405
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,24,      84.702454
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,25,      84.047965
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,26,      83.831352
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,27,      83.688904
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,28,      83.843408
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",32,256,29,      83.786057
