dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,0,      59.931320
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,1,      59.310425
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,2,      59.276872
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,3,      59.507717
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,4,      59.470712
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,5,      59.907995
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,6,      60.993224
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,7,      59.936458
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,8,      58.536300
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,9,      58.623176
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,10,      58.795777
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,11,      58.257810
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,12,      58.388438
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,13,      58.454300
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,14,      58.473129
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,15,      58.394917
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,16,      58.502001
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,17,      58.415712
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,18,      58.373816
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,19,      58.411703
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,20,      58.311678
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,21,      58.265915
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,22,      58.753845
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,23,      59.907669
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,24,      59.040127
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,25,      58.529770
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,26,      58.354122
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,27,      58.407648
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,28,      58.365891
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",8,161,29,      58.387627
