dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,0,    3659.893021
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,1,    3490.203589
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,2,    3496.433205
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,3,    3488.467793
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,4,    3489.322386
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,5,    3480.014826
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,6,    3479.271129
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,7,    3479.312947
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,8,    3478.077231
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,9,    3475.328169
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,10,    3477.758223
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,11,    3477.626025
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,12,    3485.141918
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,13,    3473.560088
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,14,    3476.950350
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,15,    3474.151862
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,16,    3478.969243
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,17,    3474.779450
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,18,    3472.415730
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,19,    3565.972999
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,20,    3469.079122
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,21,    3464.424327
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,22,    3465.018536
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,23,    3473.508846
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,24,    3464.408818
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,25,    3469.074409
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,26,    3464.990680
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,27,    3466.181424
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,28,    3463.105409
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",6,465,29,    3464.228807
