dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,0,      68.766097
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,1,      64.839050
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,2,      64.861757
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,3,      64.589358
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,4,      64.531604
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,5,      64.626994
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,6,      64.723275
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,7,      65.213101
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,8,      64.747816
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,9,      64.723751
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,10,      64.836517
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,11,      65.083256
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,12,      64.640897
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,13,      64.629771
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,14,      64.836301
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,15,      64.911582
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,16,      64.775336
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,17,      64.569749
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,18,      64.584557
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,19,      64.720889
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,20,      65.102615
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,21,      64.665337
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,22,      64.645971
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,23,      64.960691
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,24,      64.629473
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,25,      65.551509
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,26,      69.083473
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,27,      64.913952
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,28,      64.760879
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ns",32,256,29,      64.789784
