dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,0,     760.827956
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,1,     572.946264
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,2,     601.506050
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,3,     595.001952
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,4,     587.113383
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,5,     715.694385
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,6,     596.765235
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,7,     601.988847
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,8,     599.859270
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,9,     724.772892
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,10,     740.816197
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,11,     707.037448
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,12,     724.920005
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,13,     728.025572
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,14,     728.258977
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,15,     590.604817
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,16,     592.625086
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,17,     593.066050
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,18,     592.904646
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,19,     594.681442
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,20,     598.671655
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,21,     601.011256
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,22,     594.610256
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,23,     588.308857
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,24,     601.804962
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,25,     593.048110
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,26,     596.291276
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,27,     594.672258
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,28,     605.260516
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ns",64,369,29,     598.799376
