dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,0,    4817.149735
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,1,    4679.355698
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,2,    4672.965083
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,3,    4653.753059
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,4,    4664.953395
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,5,    4633.820381
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,6,    4632.463719
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,7,    4633.370775
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,8,    4636.815117
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,9,    4646.770438
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,10,    4636.418465
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,11,    4606.383820
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,12,    4611.751376
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,13,    4589.599880
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,14,    4607.861530
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,15,    4622.946265
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,16,    4603.361175
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,17,    4602.668714
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,18,    4586.428432
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,19,    4588.142600
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,20,    4581.709973
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,21,    4568.248494
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,22,    4587.142293
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,23,    4631.440642
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,24,    4584.198869
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,25,    4583.099878
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,26,    4576.421682
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,27,    4576.070377
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,28,    4578.522608
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",6,465,29,    4567.169160
