dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,0,    2815.939663
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,1,    2744.149472
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,2,    2730.970288
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,3,    2738.875076
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,4,    2733.215518
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,5,    2741.174601
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,6,    2738.809937
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,7,    2735.294586
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,8,    2733.298268
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,9,    2739.298125
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,10,    2733.052520
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,11,    2732.585571
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,12,    2733.646526
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,13,    2736.823808
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,14,    2735.632655
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,15,    2732.381219
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,16,    2733.010436
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,17,    2733.109974
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,18,    2731.900892
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,19,    2729.619276
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,20,    2738.766599
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,21,    2735.660886
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,22,    2735.224088
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,23,    2734.083391
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,24,    2732.950393
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,25,    2732.564233
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,26,    2732.877400
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,27,    2735.909137
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,28,    2731.564852
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",4,406,29,    2735.221951
