dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,0,      87.110553
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,1,      80.770727
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,2,      80.840975
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,3,      81.068658
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,4,      80.726297
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,5,      80.907179
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,6,      80.960906
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,7,      80.813769
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,8,      84.911011
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,9,      80.779327
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,10,      80.604108
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,11,      80.429626
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,12,      81.043188
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,13,      80.621109
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,14,      80.606540
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,15,      81.133973
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,16,      80.716662
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,17,      80.387121
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,18,      80.651187
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,19,      80.449436
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,20,      80.530214
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,21,      80.649957
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,22,      80.652452
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,23,      80.553434
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,24,      80.863162
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,25,      80.817449
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,26,      80.472890
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,27,      81.110998
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,28,      80.678405
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,29,      80.929268
