dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,0,    2316.977651
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,1,    2310.105017
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,2,    2304.623147
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,3,    2310.479683
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,4,    2312.980071
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,5,    2310.285929
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,6,    2311.876672
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,7,    2311.108467
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,8,    2313.549584
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,9,    2312.521071
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,10,    2311.684757
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,11,    2315.428688
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,12,    2313.191843
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,13,    2314.380176
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,14,    2314.146926
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,15,    2312.710099
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,16,    2310.889300
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,17,    2312.625940
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,18,    2309.536200
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,19,    2309.022071
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,20,    2310.828791
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,21,    2313.820484
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,22,    2314.895437
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,23,    2314.270788
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,24,    2308.529640
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,25,    2312.687080
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,26,    2314.419437
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,27,    2310.872632
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,28,    2311.549102
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",2,323,29,    2311.825440
