dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,0,      46.487688
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,1,      42.718323
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,2,      41.181853
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,3,      41.100518
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,4,      41.498091
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,5,      41.272812
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,6,      40.796527
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,7,      40.830225
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,8,      40.527005
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,9,      41.277329
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,10,      40.761148
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,11,      41.341428
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,12,      40.559307
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,13,      41.184160
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,14,      41.378875
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,15,      40.880292
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,16,      41.050820
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,17,      40.174022
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,18,      40.734434
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,19,      41.185475
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,20,      41.249194
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,21,      41.127344
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,22,      41.258033
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,23,      40.991620
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,24,      41.386967
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,25,      40.416868
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,26,      41.624394
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,27,      41.178781
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,28,      41.058000
3,float,uniform,PoisFFT,"P | P | P | P | N | D",32,256,29,      40.947811
