dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,0,    4390.597256
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,1,    4206.086558
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,2,    4127.549256
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,3,    4114.152330
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,4,    4093.140437
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,5,    4088.919322
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,6,    4083.143226
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,7,    4066.239959
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,8,    4069.874837
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,9,    4064.578745
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,10,    4076.778943
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,11,    4104.806057
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,12,    4108.707594
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,13,    4082.219688
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,14,    4075.282178
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,15,    4068.971222
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,16,    4083.401176
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,17,    4078.149678
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,18,    4075.178946
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,19,    4076.994078
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,20,    4077.835916
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,21,    4082.983737
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,22,    4077.625767
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,23,    4066.114073
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,24,    4076.387818
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,25,    4082.993960
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,26,    4081.730540
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,27,    4079.994233
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,28,    4079.743024
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",64,369,29,    4075.706608
