dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,0,      70.642084
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,1,      67.225897
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,2,      68.195804
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,3,      68.284980
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,4,      68.160363
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,5,      67.390549
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,6,      68.321724
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,7,      71.565457
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,8,      69.322391
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,9,      67.337223
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,10,      67.292667
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,11,      67.706043
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,12,      66.925702
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,13,      66.889180
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,14,      66.644318
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,15,      66.034270
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,16,      66.450056
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,17,      66.475841
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,18,      67.611188
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,19,      68.307755
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,20,      66.929418
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,21,      69.028764
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,22,      67.833670
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,23,      67.635561
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,24,      67.193596
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,25,      66.698729
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,26,      67.249020
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,27,      65.670927
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,28,      66.623740
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",16,203,29,      66.001904
