dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,0,     848.096958
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,1,     848.360873
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,2,     849.613488
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,3,     848.031702
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,4,     847.909966
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,5,     849.050475
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,6,     849.037575
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,7,     847.938362
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,8,     847.103057
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,9,     849.184688
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,10,     849.086237
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,11,     848.428906
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,12,     848.365504
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,13,     848.101049
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,14,     847.793715
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,15,     848.148894
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,16,     848.164818
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,17,     847.359094
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,18,     848.510248
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,19,     848.964142
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,20,     847.688067
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,21,     848.240251
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,22,     848.317291
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,23,     848.748207
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,24,     848.450143
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,25,     847.476132
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,26,     847.803738
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,27,     848.539702
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,28,     848.132522
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",1,256,29,     848.429738
