dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,0,    2773.701483
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,1,    2675.131946
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,2,    2683.772742
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,3,    2672.592632
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,4,    2671.780130
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,5,    2662.653137
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,6,    2662.025092
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,7,    2649.959839
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,8,    2654.402681
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,9,    2652.839059
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,10,    2675.566707
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,11,    2647.808075
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,12,    2655.429958
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,13,    2658.331800
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,14,    2649.779481
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,15,    2647.364956
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,16,    2650.242490
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,17,    2644.170196
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,18,    2658.806580
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,19,    2653.693843
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,20,    2655.705651
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,21,    2651.395984
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,22,    2654.211503
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,23,    2652.022973
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,24,    2653.376404
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,25,    2658.329871
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,26,    2681.498163
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,27,    2658.580637
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,28,    2651.817489
3,float,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",6,465,29,    2652.092606
