dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,0,      81.869042
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,1,      76.615125
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,2,      76.257308
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,3,      76.327788
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,4,      76.187469
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,5,      76.331670
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,6,      78.073572
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,7,      78.759343
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,8,      81.218393
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,9,      77.850466
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,10,      77.914381
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,11,      77.814770
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,12,      77.949319
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,13,      78.134779
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,14,      77.919698
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,15,      78.246820
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,16,      81.618091
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,17,      78.020218
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,18,      77.869956
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,19,      77.750067
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,20,      77.952150
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,21,      77.811252
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,22,      77.934273
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,23,      77.893970
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,24,      78.061514
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,25,      77.852302
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,26,      77.740094
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,27,      78.122164
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,28,      77.968507
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,29,      77.888431
