dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,0,     385.199766
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,1,     360.913265
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,2,     360.368554
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,3,     361.383450
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,4,     360.974006
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,5,     361.784424
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,6,     360.478405
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,7,     360.732839
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,8,     361.055631
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,9,     361.274382
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,10,     360.675666
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,11,     360.625956
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,12,     361.624794
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,13,     361.442348
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,14,     360.285611
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,15,     360.644977
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,16,     360.822255
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,17,     361.004571
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,18,     360.264909
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,19,     360.731092
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,20,     360.515145
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,21,     361.000649
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,22,     360.850754
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,23,     360.650366
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,24,     361.137678
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,25,     360.499941
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,26,     361.027585
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,27,     360.759234
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,28,     360.933024
3,double,uniform,PoisFFT,"D | D | D | D | N | D",48,323,29,     361.454617
