dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,0,      59.106507
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,1,      54.087970
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,2,      54.076873
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,3,      53.982288
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,4,      53.749056
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,5,      54.037984
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,6,      54.145753
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,7,      53.787131
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,8,      53.853299
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,9,      53.685527
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,10,      53.954424
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,11,      53.807633
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,12,      57.811865
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,13,      55.915311
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,14,      53.976072
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,15,      53.753103
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,16,      53.694031
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,17,      53.763682
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,18,      53.778182
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,19,      53.730696
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,20,      53.681351
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,21,      53.697580
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,22,      53.740044
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,23,      53.577855
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,24,      53.626228
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,25,      53.920061
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,26,      53.884756
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,27,      54.555313
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,28,      53.864662
3,float,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",8,161,29,      53.814573
