dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,0,      46.373804
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,1,      41.035407
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,2,      38.091759
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,3,      37.813936
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,4,      38.051219
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,5,      38.117761
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,6,      37.774225
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,7,      37.706854
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,8,      38.231111
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,9,      38.225837
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,10,      38.158007
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,11,      37.865082
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,12,      37.883485
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,13,      37.822869
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,14,      37.573511
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,15,      37.878596
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,16,      37.987403
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,17,      37.760724
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,18,      37.859205
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,19,      38.117535
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,20,      37.906043
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,21,      37.834541
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,22,      38.177213
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,23,      37.742273
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,24,      38.180269
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,25,      37.958056
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,26,      37.927731
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,27,      38.030136
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,28,      37.801858
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ds",32,256,29,      38.562464
