dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,0,     405.480517
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,1,     402.312331
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,2,     402.715440
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,3,     414.780637
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,4,     401.864246
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,5,     404.683584
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,6,     406.607591
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,7,     413.684459
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,8,     412.761793
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,9,     400.871702
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,10,     414.091851
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,11,     407.523128
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,12,     404.465184
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,13,     414.459136
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,14,     412.608830
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,15,     409.032083
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,16,     406.096274
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,17,     414.321370
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,18,     401.905973
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,19,     408.076494
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,20,     402.366367
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,21,     403.326744
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,22,     408.816387
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,23,     413.480577
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,24,     413.210923
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,25,     401.497230
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,26,     409.028011
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,27,     410.119846
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,28,     402.332334
3,double,uniform,PoisFFT,"D | D | D | D | D | D",48,323,29,     400.263696
