dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,0,      45.610309
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,1,      42.121213
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,2,      41.997090
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,3,      41.923744
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,4,      41.857313
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,5,      41.987326
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,6,      41.207202
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,7,      41.979830
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,8,      42.121034
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,9,      41.643500
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,10,      45.214914
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,11,      45.101589
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,12,      42.073156
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,13,      41.869449
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,14,      41.995539
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,15,      41.764080
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,16,      41.843517
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,17,      41.870629
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,18,      41.786975
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,19,      42.981864
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,20,      41.781001
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,21,      41.999890
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,22,      42.119531
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,23,      41.860673
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,24,      41.456399
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,25,      41.672074
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,26,      41.466830
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,27,      41.737620
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,28,      42.041142
3,float,nonuniform_z,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",32,256,29,      41.793791
