dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,0,    5514.398314
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,1,    5555.325830
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,2,    5554.922855
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,3,    5526.877189
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,4,    5560.467911
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,5,    5510.397803
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,6,    5535.811168
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,7,    5538.760794
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,8,    5522.657589
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,9,    5522.531979
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,10,    5522.845367
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,11,    5544.986840
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,12,    5516.901559
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,13,    5524.593364
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,14,    5526.555320
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,15,    5554.443721
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,16,    5532.807687
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,17,    5533.019167
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,18,    5554.738487
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,19,    5549.926262
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,20,    5508.217922
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,21,    5537.260372
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,22,    5586.783861
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,23,    5499.069854
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,24,    5514.943547
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,25,    5535.088493
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,26,    5475.490383
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,27,    5484.937573
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,28,    5523.131414
3,float,uniform,PoisFFT,"D | D | D | D | D | D",4,406,29,    5476.899799
