dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,0,    1640.826320
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,1,    1558.232505
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,2,    1586.798407
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,3,    1594.990407
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,4,    1550.171416
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,5,    1592.562204
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,6,    1598.123551
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,7,    1549.013360
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,8,    1558.024644
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,9,    1548.425254
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,10,    1556.603619
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,11,    1607.708022
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,12,    1581.547003
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,13,    1552.728270
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,14,    1612.420196
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,15,    1546.669487
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,16,    1546.476412
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,17,    1579.345144
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,18,    1546.633619
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,19,    1547.591396
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,20,    1600.631162
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,21,    1544.852609
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,22,    1550.135784
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,23,    1553.441250
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,24,    1549.848031
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,25,    1583.267802
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,26,    1564.854730
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,27,    1547.093784
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,28,    1549.912384
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",2,323,29,    1561.831147
