dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,0,      61.405423
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,1,      59.310776
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,2,      59.285140
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,3,      58.937979
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,4,      59.105257
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,5,      59.820274
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,6,      58.885234
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,7,      61.282497
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,8,      60.332885
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,9,      60.602317
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,10,      59.044343
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,11,      59.335944
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,12,      59.352154
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,13,      59.258462
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,14,      59.172033
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,15,      58.977984
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,16,      58.904600
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,17,      59.528085
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,18,      59.080789
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,19,      59.000974
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,20,      59.051834
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,21,      59.002782
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,22,      59.050265
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,23,      59.199343
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,24,      59.453784
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,25,      59.005486
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,26,      59.815731
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,27,      59.175797
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,28,      59.211703
3,float,uniform,PoisFFT,"P | P | P | P | P | P",8,161,29,      58.944595
