dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,0,    4866.069013
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,1,    4866.742376
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,2,    4870.160517
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,3,    4870.102300
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,4,    4868.995369
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,5,    4872.153525
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,6,    4869.582126
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,7,    4869.110693
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,8,    4867.892500
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,9,    4872.236995
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,10,    4867.639873
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,11,    4875.002063
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,12,    4870.406006
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,13,    4869.736338
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,14,    4872.109006
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,15,    4868.638148
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,16,    4868.788761
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,17,    4872.061591
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,18,    4871.644438
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,19,    4871.874381
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,20,    4873.181268
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,21,    4871.252788
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,22,    4872.836809
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,23,    4871.815683
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,24,    4872.077443
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,25,    4872.084635
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,26,    4871.468138
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,27,    4868.318450
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,28,    4869.981147
3,double,uniform,PoisFFT,"D | D | D | D | N | D",1,256,29,    4874.772296
