dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,0,    2847.133208
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,1,    2803.960211
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,2,    2796.608029
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,3,    2785.462050
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,4,    2781.324283
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,5,    2780.465593
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,6,    2773.386810
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,7,    2772.490448
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,8,    2771.185698
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,9,    2770.299766
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,10,    2770.384006
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,11,    2769.723250
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,12,    2768.397335
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,13,    2769.987870
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,14,    2769.728599
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,15,    2768.076956
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,16,    2772.932618
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,17,    2767.089003
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,18,    2768.466900
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,19,    2768.109555
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,20,    2768.464952
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,21,    2767.954240
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,22,    2766.321164
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,23,    2766.857215
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,24,    2767.621549
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,25,    2766.599919
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,26,    2768.780665
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,27,    2767.162218
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,28,    2767.061285
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",6,465,29,    2765.829417
