dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,0,     429.870883
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,1,     432.334050
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,2,     435.764920
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,3,     437.300694
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,4,     433.911063
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,5,     436.365019
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,6,     432.538859
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,7,     428.117384
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,8,     428.409536
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,9,     428.805651
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,10,     431.600714
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,11,     436.718778
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,12,     432.362452
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,13,     435.736589
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,14,     433.437626
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,15,     431.476702
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,16,     439.429602
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,17,     432.826894
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,18,     421.957049
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,19,     438.474249
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,20,     434.529563
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,21,     438.828250
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,22,     437.628778
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,23,     431.880389
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,24,     435.706933
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,25,     430.731506
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,26,     438.269207
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,27,     428.934319
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,28,     436.219228
3,float,uniform,PoisFFT,"P | P | P | P | P | P",48,323,29,     431.731885
