dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,0,      69.635359
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,1,      64.916171
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,2,      63.804644
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,3,      65.057187
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,4,      62.730671
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,5,      64.616090
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,6,      64.343357
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,7,      67.930140
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,8,      64.525110
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,9,      64.373133
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,10,      62.601874
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,11,      65.608035
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,12,      64.731766
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,13,      63.448079
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,14,      64.532219
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,15,      64.491095
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,16,      65.043252
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,17,      65.565297
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,18,      65.735885
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,19,      64.758441
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,20,      63.544349
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,21,      63.762975
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,22,      63.146872
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,23,      64.718172
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,24,      65.602159
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,25,      65.524400
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,26,      64.760362
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,27,      65.718678
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,28,      64.611927
3,float,uniform,PoisFFT,"P | P | P | P | D | N",16,203,29,      64.679443
