dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,0,      76.038726
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,1,      73.532899
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,2,      73.374040
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,3,      72.634917
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,4,      73.607130
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,5,      75.985338
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,6,      74.406508
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,7,      73.732727
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,8,      72.487053
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,9,      75.723300
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,10,      72.543586
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,11,      73.773324
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,12,      72.428059
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,13,      72.455956
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,14,      72.711623
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,15,      72.766546
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,16,      73.092521
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,17,      73.078309
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,18,      73.920371
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,19,      73.594306
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,20,      72.583706
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,21,      73.523563
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,22,      72.879604
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,23,      72.671393
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,24,      73.221421
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,25,      72.649927
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,26,      73.111684
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,27,      72.183614
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,28,      72.930582
3,double,uniform,PoisFFT,"D | D | D | D | D | D",8,161,29,      73.096594
