dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,0,     393.332156
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,1,     403.305266
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,2,     399.768287
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,3,     389.696150
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,4,     399.611812
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,5,     398.814059
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,6,     406.756486
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,7,     392.922530
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,8,     386.222143
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,9,     387.259551
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,10,     386.764882
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,11,     392.896454
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,12,     477.300408
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,13,     391.581129
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,14,     377.746634
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,15,     393.256018
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,16,     404.020242
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,17,     385.042708
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,18,     392.402980
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,19,     388.835684
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,20,     396.595614
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,21,     386.762887
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,22,     386.859876
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,23,     401.165482
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,24,     392.701258
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,25,     394.321304
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,26,     395.143655
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,27,     388.578331
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,28,     396.020749
3,double,uniform,PoisFFT,"P | P | P | P | N | D",48,323,29,     393.221817
