dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,0,     522.554426
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,1,     524.300825
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,2,     477.371355
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,3,     466.371726
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,4,     545.581547
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,5,     579.674151
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,6,     342.040280
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,7,     340.760383
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,8,     337.021516
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,9,     342.395913
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,10,     343.098201
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,11,     348.215766
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,12,     343.539177
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,13,     339.980108
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,14,     343.958445
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,15,     339.728570
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,16,     337.688717
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,17,     340.828487
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,18,     337.081345
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,19,     343.244619
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,20,     341.115389
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,21,     341.290222
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,22,     340.049011
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,23,     342.450255
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,24,     338.873166
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,25,     347.373260
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,26,     341.838332
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,27,     340.658647
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,28,     435.364339
3,double,nonuniform_z,PoisFFT,"P | P | P | P | Ns | Ns",48,323,29,     340.021748
