dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,0,      51.217473
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,1,      47.754974
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,2,      47.749628
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,3,      47.954870
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,4,      48.770352
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,5,      48.447207
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,6,      47.865876
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,7,      47.935171
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,8,      48.139050
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,9,      47.794515
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,10,      48.581705
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,11,      48.069367
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,12,      47.797539
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,13,      48.089428
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,14,      51.071778
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,15,      47.864508
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,16,      47.833171
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,17,      47.818105
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,18,      47.836073
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,19,      47.700216
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,20,      48.239898
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,21,      47.804038
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,22,      48.020516
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,23,      47.750572
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,24,      47.688748
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,25,      48.674968
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,26,      48.014601
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,27,      48.026668
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,28,      47.997241
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",8,161,29,      47.979327
