dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,0,    4882.607123
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,1,    4792.193802
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,2,    4870.448292
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,3,    4663.313193
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,4,    4792.139355
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,5,    4743.350195
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,6,    4773.692132
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,7,    4705.938890
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,8,    4776.267374
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,9,    4811.062358
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,10,    4815.535523
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,11,    4798.518939
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,12,    4766.259517
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,13,    4790.161301
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,14,    4774.901224
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,15,    4720.406237
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,16,    4729.863820
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,17,    4772.964632
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,18,    4782.456784
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,19,    4827.998924
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,20,    4825.640702
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,21,    4755.819544
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,22,    4764.118172
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,23,    4770.846505
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,24,    4861.496323
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,25,    4845.925678
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,26,    4902.460097
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,27,    4828.565838
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,28,    4876.304455
3,float,uniform,PoisFFT,"P | P | P | P | P | P",6,465,29,    4821.547082
