dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,0,    3506.449194
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,1,    3444.147103
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,2,    3430.051384
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,3,    3428.658333
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,4,    3419.243969
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,5,    3412.300094
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,6,    3413.458760
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,7,    3419.420080
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,8,    3418.208264
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,9,    3415.738970
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,10,    3419.210297
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,11,    3414.386297
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,12,    3419.300330
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,13,    3412.598440
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,14,    3415.431226
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,15,    3416.263287
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,16,    3417.513113
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,17,    3414.307646
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,18,    3416.267349
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,19,    3415.130516
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,20,    3414.094759
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,21,    3415.244985
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,22,    3414.195625
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,23,    3414.360586
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,24,    3421.112203
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,25,    3411.938451
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,26,    3414.855919
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,27,    3412.332940
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,28,    3412.043003
3,double,uniform,PoisFFT,"P | P | P | P | D | N",4,406,29,    3417.153908
