dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,0,   14319.911127
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,1,   14320.381282
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,2,   14417.241627
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,3,   14400.222539
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,4,   14281.588934
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,5,   14347.706255
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,6,   14372.060437
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,7,   14308.273357
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,8,   14318.224550
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,9,   14303.466626
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,10,   14311.893431
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,11,   14276.778916
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,12,   14316.626164
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,13,   14266.164348
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,14,   14303.915055
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,15,   14311.121491
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,16,   14271.119862
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,17,   14259.523738
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,18,   14264.163294
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,19,   14263.076415
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,20,   14262.499818
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,21,   14258.457769
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,22,   14300.395069
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,23,   14267.477988
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,24,   14284.179666
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,25,   14288.983406
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,26,   14265.515801
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,27,   14246.026600
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,28,   14241.740978
3,double,uniform,PoisFFT,"D | D | D | D | D | D",6,465,29,   14242.250895
