dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,0,      94.789659
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,1,      94.122526
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,2,      96.095251
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,3,      94.398026
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,4,      93.451223
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,5,      93.651700
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,6,      93.777361
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,7,      93.675664
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,8,      93.666482
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,9,      93.523842
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,10,      93.639519
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,11,      93.746751
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,12,      93.596829
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,13,      93.505626
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,14,      93.471434
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,15,      93.828323
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,16,      93.376651
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,17,      93.317219
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,18,      93.642214
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,19,      93.166595
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,20,      93.465243
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,21,      93.489470
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,22,      96.309457
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,23,      94.561619
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,24,      93.729349
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,25,      93.652373
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,26,      93.776015
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,27,      93.268935
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,28,      93.378496
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",16,203,29,      93.512750
