dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,0,    2505.427436
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,1,    2465.166650
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,2,    2464.332497
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,3,    2456.447672
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,4,    2455.190578
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,5,    2459.571505
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,6,    2457.786981
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,7,    2456.712661
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,8,    2459.120351
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,9,    2454.324052
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,10,    2451.838797
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,11,    2457.484701
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,12,    2458.817888
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,13,    2460.148410
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,14,    2450.049324
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,15,    2447.694834
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,16,    2447.984358
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,17,    2448.366550
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,18,    2447.139630
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,19,    2450.101474
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,20,    2471.180519
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,21,    2441.932158
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,22,    2450.305347
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,23,    2449.910460
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,24,    2445.032945
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,25,    2447.601031
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,26,    2447.929004
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,27,    2459.037907
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,28,    2444.663734
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",4,406,29,    2444.875606
