dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,0,     835.386600
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,1,     833.313001
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,2,     833.729769
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,3,     833.208959
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,4,     835.773129
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,5,     833.043468
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,6,     832.833611
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,7,     832.175980
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,8,     833.585203
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,9,     831.646876
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,10,     832.954506
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,11,     832.328517
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,12,     833.393344
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,13,     832.426325
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,14,     832.320034
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,15,     831.495229
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,16,     834.033365
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,17,     832.663317
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,18,     832.057726
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,19,     831.059583
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,20,     832.677567
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,21,     831.594628
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,22,     832.484167
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,23,     832.589102
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,24,     834.001198
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,25,     832.279913
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,26,     832.528735
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,27,     831.751283
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,28,     832.840944
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",1,256,29,     831.800996
