dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,0,     374.735572
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,1,     374.690199
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,2,     375.602664
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,3,     374.622749
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,4,     374.524550
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,5,     374.243310
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,6,     375.039394
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,7,     373.020899
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,8,     372.613871
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,9,     375.723135
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,10,     373.956030
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,11,     370.608912
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,12,     373.861982
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,13,     374.361296
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,14,     375.638175
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,15,     374.111817
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,16,     373.522941
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,17,     376.076001
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,18,     374.693849
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,19,     374.023942
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,20,     374.276336
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,21,     374.508072
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,22,     375.228639
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,23,     374.184459
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,24,     374.728318
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,25,     373.651259
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,26,     373.580384
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,27,     373.094103
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,28,     373.510873
3,float,uniform,PoisFFT,"D | D | D | D | D | D",32,256,29,     375.618142
