dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,0,      90.312898
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,1,      88.950055
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,2,      91.011468
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,3,      91.240521
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,4,      92.287330
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,5,      89.765162
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,6,      89.021005
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,7,      89.197423
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,8,      88.805634
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,9,      88.835729
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,10,      89.119268
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,11,      88.899987
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,12,      89.351667
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,13,      89.537594
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,14,      88.874195
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,15,      90.007997
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,16,      89.281176
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,17,      89.238122
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,18,      89.541293
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,19,      89.933655
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,20,      89.690247
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,21,      89.636003
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,22,      89.781300
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,23,      91.526454
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,24,      91.836522
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,25,      91.270317
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,26,      89.730110
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,27,      89.642166
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,28,      89.638170
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",16,203,29,      89.668688
