dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,0,     106.629820
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,1,     106.067174
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,2,     105.911112
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,3,     107.555413
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,4,     106.356746
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,5,     106.044352
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,6,     105.989365
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,7,     106.476561
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,8,     105.891329
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,9,     106.074729
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,10,     105.930226
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,11,     106.934731
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,12,     105.912189
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,13,     105.961156
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,14,     105.927064
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,15,     106.572225
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,16,     105.895464
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,17,     106.654301
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,18,     105.939710
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,19,     105.791354
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,20,     106.615200
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,21,     106.362302
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,22,     107.501352
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,23,     106.176740
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,24,     106.103318
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,25,     106.044583
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,26,     105.627476
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,27,     105.921871
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,28,     105.686988
3,float,uniform,PoisFFT,"D | D | D | D | N | D",16,203,29,     105.710472
