dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,0,    4155.323166
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,1,    4041.146260
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,2,    4017.247230
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,3,    4013.186356
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,4,    4012.659277
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,5,    4002.133787
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,6,    3998.801360
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,7,    4014.350106
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,8,    3999.255962
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,9,    4012.525812
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,10,    4015.995268
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,11,    4020.040895
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,12,    4008.979034
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,13,    4003.895414
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,14,    4011.310408
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,15,    4008.559856
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,16,    4022.185514
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,17,    4009.530967
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,18,    4009.773035
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,19,    3998.312102
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,20,    4010.643026
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,21,    3998.645362
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,22,    3996.234172
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,23,    3990.266199
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,24,    3989.118670
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,25,    3989.283756
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,26,    3986.883031
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,27,    3985.924526
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,28,    3977.192893
3,double,uniform,PoisFFT,"P | P | P | P | Ds | Ds",6,465,29,    3977.241301
