dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,0,     410.738337
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,1,     408.923614
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,2,     416.655801
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,3,     417.578239
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,4,     404.279892
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,5,     420.024631
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,6,     405.157748
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,7,     400.521302
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,8,     417.634207
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,9,     412.499685
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,10,     412.855546
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,11,     412.174058
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,12,     417.531316
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,13,     423.695789
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,14,     414.299578
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,15,     417.939618
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,16,     413.612378
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,17,     418.886152
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,18,     413.350590
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,19,     418.592698
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,20,     411.285468
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,21,     409.893262
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,22,     416.398914
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,23,     418.151953
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,24,     419.534697
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,25,     415.362694
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,26,     420.194258
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,27,     425.346464
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,28,     422.409090
3,double,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",48,323,29,     420.838603
