dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,0,     292.992162
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,1,     292.842396
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,2,     292.763343
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,3,     292.692177
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,4,     292.785903
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,5,     293.405482
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,6,     292.345085
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,7,     292.789031
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,8,     293.036768
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,9,     293.168037
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,10,     292.714702
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,11,     292.635233
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,12,     292.468007
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,13,     292.533363
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,14,     294.007646
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,15,     293.403933
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,16,     292.990566
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,17,     292.452302
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,18,     292.847783
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,19,     292.823044
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,20,     292.667951
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,21,     292.918524
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,22,     292.552828
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,23,     292.636350
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,24,     292.777385
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,25,     292.964303
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,26,     293.018545
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,27,     292.889699
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,28,     292.518270
3,float,uniform,PoisFFT,"D | D | D | D | N | D",32,256,29,     292.879514
