dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,0,     951.392401
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,1,     957.952077
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,2,     954.066765
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,3,     956.281791
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,4,     955.700041
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,5,     955.906295
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,6,     954.691968
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,7,     956.556697
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,8,     955.636504
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,9,     954.450215
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,10,     954.692135
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,11,     954.646137
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,12,     956.724511
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,13,     955.232228
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,14,     957.068469
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,15,     953.791667
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,16,     955.940363
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,17,     955.709724
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,18,     955.124115
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,19,     956.922076
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,20,     956.174260
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,21,     956.882604
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,22,     954.672046
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,23,     955.801941
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,24,     955.662749
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,25,     954.728867
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,26,     953.547844
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,27,     954.870863
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,28,     954.024491
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",1,256,29,     954.646657
