dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,0,    1633.356225
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,1,    1655.095780
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,2,    1607.305156
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,3,    1642.101830
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,4,    1597.914857
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,5,    1854.023475
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,6,    1602.607666
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,7,    1603.660566
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,8,    1776.148778
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,9,    1707.954577
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,10,    1606.997996
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,11,    1604.186295
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,12,    1600.300855
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,13,    1613.087735
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,14,    1606.044155
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,15,    1609.007519
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,16,    1617.504753
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,17,    1659.448274
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,18,    1724.194944
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,19,    1616.956340
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,20,    1600.057480
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,21,    1601.271159
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,22,    1602.968266
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,23,    1612.341600
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,24,    1692.356729
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,25,    1602.701722
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,26,    1604.030251
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,27,    1598.234242
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,28,    1599.905362
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",2,323,29,    1602.351779
